Date,Name,Occupancy rate,Critical care beds occupancy rate,No. beds  occupied by long-stay patients (> 7 days),No. beds occupied by long-stay patients (> 21 days),day_of_year
2020-11-02T00:00:00Z,Bedfordshire Hospitals NHS Foundation Trust,0.91600790513834,0.6785714285714286,NA,NA,2020-11-02
2020-11-02T00:00:00Z,Cambridge University Hospitals NHS Foundation Trust,0.9041850220264317,0.8405797101449275,NA,NA,2020-11-02
2020-11-02T00:00:00Z,East and North Hertfordshire NHS Trust,0.7575187969924813,0.5,NA,NA,2020-11-02
2020-11-02T00:00:00Z,East Suffolk and North Essex NHS Foundation Trust,0.8670076726342711,0.8,NA,NA,2020-11-02
2020-11-02T00:00:00Z,James Paget University Hospitals NHS Foundation Trust,0.9071428571428571,0.75,NA,NA,2020-11-02
2020-11-02T00:00:00Z,Mid and South Essex NHS Foundation Trust,0.7117954677513074,0.5604395604395604,NA,NA,2020-11-02
2020-11-02T00:00:00Z,Milton Keynes University Hospital NHS Foundation Trust,0.9585492227979274,0.7,NA,NA,2020-11-02
2020-11-02T00:00:00Z,Norfolk and Norwich University Hospitals NHS Foundation Trust,0.9219457013574661,0.358974358974359,NA,NA,2020-11-02
2020-11-02T00:00:00Z,North West Anglia NHS Foundation Trust,0.9500580720092915,0.6538461538461539,NA,NA,2020-11-02
2020-11-02T00:00:00Z,The Princess Alexandra Hospital NHS Trust,0.8016085790884718,0.8,NA,NA,2020-11-02
2020-11-02T00:00:00Z,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",0.894,0.2,NA,NA,2020-11-02
2020-11-02T00:00:00Z,West Hertfordshire Hospitals NHS Trust,0.7704402515723271,0.65,NA,NA,2020-11-02
2020-11-02T00:00:00Z,West Suffolk NHS Foundation Trust,0.8540145985401459,0.875,NA,NA,2020-11-02
2020-11-02T00:00:00Z,"Barking, Havering and Redbridge University Hospitals NHS Trust",0.9101731601731602,0.6268656716417911,NA,NA,2020-11-02
2020-11-02T00:00:00Z,Barts Health NHS Trust,0.8875338753387534,0.7982456140350878,NA,NA,2020-11-02
2020-11-02T00:00:00Z,Chelsea and Westminster Hospital NHS Foundation Trust,0.7840236686390533,0.6956521739130435,NA,NA,2020-11-02
2020-11-02T00:00:00Z,Croydon Health Services NHS Trust,0.9648711943793911,0.5333333333333333,NA,NA,2020-11-02
2020-11-02T00:00:00Z,Epsom and St Helier University Hospitals NHS Trust,0.8775510204081632,0.8421052631578947,NA,NA,2020-11-02
2020-11-02T00:00:00Z,Guy's and St Thomas' NHS Foundation Trust,0.7713651498335183,0.5684210526315789,NA,NA,2020-11-02
2020-11-02T00:00:00Z,Homerton University Hospital NHS Foundation Trust,0.7439024390243902,0.6875,NA,NA,2020-11-02
2020-11-02T00:00:00Z,Imperial College Healthcare NHS Trust,0.8227722772277227,0.9634146341463414,NA,NA,2020-11-02
2020-11-02T00:00:00Z,King's College Hospital NHS Foundation Trust,0.9551122194513716,0.9339622641509434,NA,NA,2020-11-02
2020-11-02T00:00:00Z,Kingston Hospital NHS Foundation Trust,0.8812664907651715,0.6,NA,NA,2020-11-02
2020-11-02T00:00:00Z,Lewisham and Greenwich NHS Trust,0.896168108776267,0.6388888888888888,NA,NA,2020-11-02
2020-11-02T00:00:00Z,London North West University Healthcare NHS Trust,0.8827667057444314,0.5970149253731343,NA,NA,2020-11-02
2020-11-02T00:00:00Z,North Middlesex University Hospital NHS Trust,0.9071925754060325,1,NA,NA,2020-11-02
2020-11-02T00:00:00Z,Royal Free London NHS Foundation Trust,0.9508196721311475,0.9152542372881356,NA,NA,2020-11-02
2020-11-02T00:00:00Z,St George's University Hospitals NHS Foundation Trust,0.799761620977354,0.5656565656565656,NA,NA,2020-11-02
