year,week,Code,Name,Occupancy rate,G&A beds occ'd,G&A Beds Open,G&A beds unavailable to non-covid admissions “void”,CC Adult Open,CC Adult Occ,Critical care beds occupancy rate,No. beds occupied by long-stay patients (> 7 days),No. beds occupied by long-stay patients (> 21 days),No. beds occupied by flu patients (G&A),No. beds occupied by flu patients (Critical Care),Closures,Diverts,Delays30,Delays60,No. unoccupied beds closed due to norovirus etc.
2019-20,1,R0A,Manchester University NHS Foundation Trust,0.8918671086971856,1806.2857142857142,2025.2857142857142,NA,108,82.57142857142857,0.7645502645502645,1089.142857142857,518.1428571428571,NA,NA,0,0,14.571428571428571,5.285714285714286,0
2019-20,1,R0B,South Tyneside and Sunderland NHS Foundation Trust,0.9055953328029701,975.7142857142857,1077.4285714285713,NA,24,15.142857142857142,0.6309523809523809,458.42857142857144,176.42857142857142,NA,NA,0,0,12.285714285714286,13.285714285714286,0.8571428571428571
2019-20,1,R1F,Isle of Wight NHS Trust,0.980503144654088,222.71428571428572,227.14285714285714,NA,6.142857142857143,4.714285714285714,0.7674418604651162,128.85714285714286,53.857142857142854,NA,NA,0,0,0,0,0
2019-20,1,R1H,Barts Health NHS Trust,0.9541620828749542,1486.857142857143,1558.2857142857142,NA,122,95,0.7786885245901639,607.5714285714286,260,NA,NA,0,0,41.42857142857143,6.857142857142857,0
2019-20,1,R1K,London North West University Healthcare NHS Trust,0.9463327370304114,1058,1118,NA,33,30,0.9090909090909091,508.2857142857143,177.42857142857142,NA,NA,0,0,33.142857142857146,13.857142857142858,1.1428571428571428
2019-20,1,RA2,Royal Surrey County Hospital NHS Foundation Trust,0.9468119192566486,422.14285714285717,445.85714285714283,NA,21,20,0.9523809523809523,185.57142857142858,62.142857142857146,NA,NA,0,0,6.142857142857143,1.4285714285714286,0
2019-20,1,RA3,Weston Area Health NHS Trust,0.9917184265010353,273.7142857142857,276,NA,5,4.571428571428571,0.9142857142857143,133.71428571428572,41.57142857142857,NA,NA,0,0,2.7142857142857144,0.14285714285714285,1.5714285714285714
2019-20,1,RA4,Yeovil District Hospital NHS Foundation Trust,0.9335027530707327,314.85714285714283,337.2857142857143,NA,10,8.857142857142858,0.8857142857142858,63.285714285714285,27.285714285714285,NA,NA,0,0,0,0,0
2019-20,1,RA7,University Hospitals Bristol NHS Foundation Trust,0.8938523718357797,700.3333333333334,783.5,NA,55,53.333333333333336,0.9696969696969697,0,101.28571428571429,NA,NA,0,0,9.428571428571429,2.4285714285714284,0
2019-20,1,RA9,Torbay and South Devon NHS Foundation Trust,0.9411982248520709,363.57142857142856,386.2857142857143,NA,10,5.428571428571429,0.5428571428571429,129.71428571428572,28,NA,NA,0,0,4.857142857142857,1.1428571428571428,0
2019-20,1,RAE,Bradford Teaching Hospitals NHS Foundation Trust,0.9835873388042204,599.2857142857143,609.2857142857143,NA,16,13.714285714285714,0.8571428571428571,250.85714285714286,94.28571428571429,NA,NA,0,0,9.142857142857142,6,0.14285714285714285
2019-20,1,RAJ,Southend University Hospital NHS Foundation Trust,0.974325039703547,525.8571428571429,539.7142857142857,NA,26,23,0.8846153846153846,209,57.714285714285715,NA,NA,0,0,13.857142857142858,11.285714285714286,0
2019-20,1,RAL,Royal Free London NHS Foundation Trust,0.9770491803278688,808.8571428571429,827.8571428571429,NA,50,46.714285714285715,0.9342857142857143,455.14285714285717,178.42857142857142,NA,NA,0,0,40,11.142857142857142,0
2019-20,1,RAP,North Middlesex University Hospital NHS Trust,0.9685940710302319,471.42857142857144,486.7142857142857,NA,10,9.142857142857142,0.9142857142857143,252.14285714285714,90.42857142857143,NA,NA,0,0,31,6,0
